Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;BEV064__Durchschnittsalter_der_Eingebuergerten__Jahre
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;;Insgesamt;24
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;EUROPA;Europa;25
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;EUROPA-EU-28;EU-28 (seit 01.07.2013);27
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;DRITT-EU-28;Drittstaaten zu EU-28 (seit 01.07.2013);22
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;EUROPA-EU-27;EU-27 (bis 30.06.2013);28
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;DRITT-EU-27;Drittstaaten zu EU-27 (bis 30.06.2013);23
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;EUROPA-EU-25;EU-25 (bis 31.12.2006);30
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;DRITT-EU-25;Drittstaaten zu EU-25 (bis 31.12.2006);22
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;EUROPA-EU-15;EU-15 (bis 30.04.2004);32
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;DRITT-EU-15;Drittstaaten zu EU-15 (bis 30.04.2004);22
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;EUROPA-EG-12;EG-12 (bis 31.12.1994);32
12511;Einbürgerungsstatistik;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;FAMST8;Familienstand;LEDIG;ledig;LDRGR1;Ländergruppierungen;DRITT-EG-12;Drittstaaten zu EG-12 (bis 31.12.1994);22
